Id,TenantId,CreationDate,TenantName,DepartmentName,DepartmentAddress,DepartmentContactPerson,DepartmentContactEmail,IsActive
161,1,09/30/2025 12:41:14,,wdwd,darmisr,khaled sabry,isabryex@gmail.com,True
160,1,10/02/2024 02:12:34,,Trent,Leigh,Vernon,marinda.funk@hotmail.com,True
159,1,10/02/2024 02:08:56,,Percy,Adah,Adriane,evie.wehner@gmail.com,True
158,3,09/10/2024 16:01:24,,Senegal Department,khloud.ashraf@paysky.io,khloud,khloud.ashraf@paysky.io,True
157,3,09/10/2024 15:16:21,,Senegal dep,Senegal,khloud,khloud.ashraf@paysky.io,True
156,3,09/05/2024 12:31:12,,Dep Sen,Cairo,Kholod,Kholod@gmail.com,True
155,1,07/16/2024 18:53:58,,Ute,Joyce,Taylor,jeffie.champlin@hotmail.com,True
154,1,07/15/2024 13:13:18,,Sunday,Jacqulyn,Reginald,terrance.legros@gmail.com,True
153,1,07/15/2024 06:48:41,,Shery,Marlin,Gary,dorcas.daniel@yahoo.com,True
152,1,07/14/2024 03:39:53,,Colby,Salvador,Adolph,norah.ebert@yahoo.com,True
151,1,07/14/2024 03:33:54,,Melvin,Phil,Sydney,gricelda.kohler@gmail.com,True
150,1,07/14/2024 02:16:04,,Margarette,Faustina,Cary,manuel.murazik@hotmail.com,True
149,1,07/14/2024 01:49:04,,Chiquita,Lester,Anisa,reinaldo.oberbrunner@hotmail.com,True
148,1,07/14/2024 01:11:19,,Carson,Merlin,Marjorie,natalya.conn@gmail.com,True
147,1,07/14/2024 01:05:09,,Roman,Long,Hiram,pierre.reynolds@yahoo.com,True
146,1,07/14/2024 00:47:12,,Nohemi,Donald,Stanford,brendon.boehm@gmail.com,True
145,1,07/14/2024 00:42:12,,Jamaal,Trenton,Benedict,shannon.aufderhar@yahoo.com,True
144,1,07/14/2024 00:32:43,,Broderick,Lynda,Maddie,teddy.terry@yahoo.com,True
143,1,07/14/2024 00:03:19,,Keneth,Maurice,Keshia,millard.williamson@yahoo.com,True
142,1,07/11/2024 20:06:31,,Dalila,Lawerence,Yen,arianna.hills@hotmail.com,True
141,1,07/10/2024 11:40:36,,Lona,Bennie,Ed,dexter.dietrich@yahoo.com,True
140,1,07/10/2024 11:36:33,,Guy,Joey,Jamal,tuyet.hirthe@hotmail.com,True
139,1,07/10/2024 11:30:02,,Santana,Luke,Antonia,isiah.stoltenberg@gmail.com,True
138,1,07/10/2024 11:28:01,,Cory,Danyelle,Wm,stephaine.schowalter@gmail.com,True
137,1,07/10/2024 09:27:33,,Marlyn,Candy,Marlin,madaline.koss@yahoo.com,True
136,1,07/10/2024 08:57:54,,Bud,Caitlin,Leanne,manie.macgyver@yahoo.com,True
135,1,07/10/2024 06:54:05,,Kieth,Garret,Trent,willia.spinka@yahoo.com,True
134,1,07/09/2024 20:20:09,,Carmine,Enriqueta,Garry,coletta.schamberger@yahoo.com,True
133,1,07/09/2024 19:34:39,,Mallory,Cherryl,Ehtel,charley.frami@hotmail.com,True
132,1,07/09/2024 19:34:12,,Alan,Lon,Sydney,casey.skiles@hotmail.com,True
131,3,07/07/2024 16:43:09,,seng,ghada.tarek@paysky.io,Ghada Tarek,ghada.tarek@paysky.io,True
130,1,03/28/2024 23:38:10,,Egypt Dep,و لا في الاحلام,كلمه في خيالك,ghada.tarek@paysky.io,True
129,2,03/28/2024 23:22:47,,USACheckerDepartment,Address is no there,mohsen,address@address.com,True
128,2,03/28/2024 21:45:45,,USAAdmins,there,CJ Abdo,email@email.com,True
127,1,03/14/2024 07:51:16,,dup,dup,dup,dup@dup,True
126,1,03/06/2024 16:20:59,,Egypt Admins,fourth floor,madam Afaf,Admin@system.com,True
125,1,03/06/2024 14:33:40,,bbb,"fdfd ","dsfd ",sdff@dsd,True
124,1,03/06/2024 14:30:20,,MI test 2,ddd,fff,gggg@fff,True
123,1,03/06/2024 14:29:51,,MI Test,fdfdddd,12343232,fsd@dfsffgf.com,True
122,1,03/06/2024 14:28:24,,egypt department fff hhh ggg fff,ashraf@gmail.com,1234567,ashraf@gmail.com,True
121,1,03/06/2024 13:57:52,,cc,df,12343232,fsd@dfsgf.com,True
120,1,03/06/2024 13:57:18,,fffgg,dfdfdf,12343232,fsd@dfsgf.com,True
119,1,03/06/2024 13:52:51,,egypt department fff hhh ggg,ashraf@gmail.com,1234567,ashraf@gmail.com,True
118,1,03/06/2024 13:52:23,,egypt department fff hhh,ashraf@gmail.com,1234567,ashraf@gmail.com,True
117,1,03/06/2024 11:31:40,,namesswdwdwdw,departmentAddressswswsw,Contact7262y23,715@artguijjifgjiolin.com,False
116,1,03/05/2024 15:43:51,,egypt department fff,ashraf@gmail.com,1234567,ashraf@gmail.com,True
115,1,03/05/2024 15:43:14,,egypt department,ashraf@gmail.com,1234567,ashraf@gmail.com,True
112,2,03/03/2024 09:46:49,,Dep test  UAT,Cairo,Ghada Tarek,gh@gh,False
111,1,02/18/2024 11:33:29,,Gh Dep2,Cairo,7526762,g@g,False
110,1,02/14/2024 13:49:03,,USA Dept,newyork,rawan,rawan@rawan.com,True
109,1,02/14/2024 09:47:50,,Hulk Dep,Cairo,Ghada Tarek,ghada.tarek@paysky.io,True
106,1,02/12/2024 07:54:30,,"                      Test Edit Dep  ",Cairo,tttt,t@t,True
101,1,02/06/2024 10:48:51,,InActive updated,ayman روح هناك واسال,010000000000,neverEnd@eeee.co,False
100,1,02/06/2024 10:25:42,,مستحيل يتمسح ابدا,روح هناك واسال,010000000000,neverEnd@eeee.com,True
90,1,02/05/2024 09:31:00,,test1,test1,test1,test1@test1,True
89,1,02/05/2024 09:31:00,,test1,test1,test1,test1@test1,True
88,1,02/05/2024 09:25:38,," test   ","test  ","test  ",test@test,True
87,1,02/05/2024 09:25:38,," test   ","test  ","test  ",test@test,True
86,1,02/05/2024 09:17:36,,test,test,test,test@test,True
85,1,02/05/2024 09:17:36,,test,test,test,test@test,True
84,1,02/05/2024 09:15:48,,"new department not ","اخر الشارع,",010000000000,user123@exampdddedd.com,True
83,1,02/05/2024 09:15:33,,"new department not linked to user ","اخر الشارع,",010000000000,user123@exampdddedd.com,True
79,1,02/04/2024 12:32:18,,Should be Deleted,"اخر الشارع,",010000000000,user1@exampdddedd.com,True
78,1,02/04/2024 11:44:17,,ashraf112@gmail.com,dAddressيي,010000000000,user1@exampdddedd.com,True
76,2,02/04/2024 11:07:50,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
75,1,02/04/2024 11:07:45,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
74,1,02/04/2024 11:07:41,,ashraf1@gmail.com,dAddress,010000000000,user@exampledd.com,True
